Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),S3 One Zone - Infrequent Access,0,10.24,122.88,USD,S3 One Zone-IA storage (1 TB per month)
My Estimate,US East (N. Virginia),S3 Glacier,0,4.1,49.20,USD,S3 Glacier storage (1 TB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Internet) 1 TB per month 
 Outbound (to: Amazon Cloud Front) 1 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,157.86,1894.32,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Amazon EC2,0,2571.2,30854.40,USD,"Operating system (Linux), Quantity (20), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (m5a.xlarge)"
My Estimate,US East (N. Virginia),Amazon EC2,0,2255.84,27070.08,USD,"Operating system (Linux), Quantity (20), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t3a.xlarge)"
My Estimate,US East (N. Virginia),Amazon RDS for PostgreSQL,0,5951.08,71412.96,USD,"Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Instance type (db.r5.4xlarge), Additional backup storage (1 TB)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,500.05,6000.60,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Amazon Route 53,0,51,612.00,USD,Hosted Zones (2)
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,102.2,1226.40,USD,"Number of EIPs per instance (4), Number of EC2 instances (4)"
My Estimate,US East (Ohio),Amazon EC2,0,1127.92,13535.04,USD,"Operating system (Linux), Quantity (10), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t3a.xlarge)"
My Estimate,US East (Ohio),Amazon RDS for PostgreSQL,0,3386.4,40636.80,USD,"Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (30 GB per month), Instance type (db.r5.4xlarge)"
My Estimate,US East (Ohio),Amazon Elastic IP,0,204.4,2452.80,USD,"Number of EC2 instances (8), Number of EIPs per instance (4)"
My Estimate,US East (Ohio),Amazon EC2,0,2571.2,30854.40,USD,"Operating system (Linux), Quantity (20), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (m5a.xlarge)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."


brief narrative
With a higher budget it was possible to implement Multi-region where all resources are replicated to other regions which would improve some AWS resources that would improve the performance and the security of the application.
The RDS is increase from 1 to 2 instance. so we can easily scale up the RDS instances.;
